Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Buxure,Buxuree,Awol Abagaroo,7.751314987,36.81190234,2118,,2007-6,On spot,,,2,,Hand dug well,Yes,,Hand pump,Afridev,Man Power,Functional,,,,,Other,2007-6,,,,,,,,,,,,,
Mana,Buxure,Buxuree,Mana Barumsa bux.gabisa,7.74875023,36.81687293,2131,,2009-8,On spot,,,4,,Hand dug well,Yes,,Hand pump,Afridev,Man Power,Functional,,,,,Other,2009-8,,,,,,,,,,,,,
Mana,Buxure,Buxuree,Awol kadir,7.748610898,36.82276097,2120,,2009-8,On spot,,,2,,Hand dug well,Yes,,Hand pump,Afridev,Man Power,Functional,,,,,Other,2009-8,,,,,,,,,,,,,
Mana,Buxure,Buxuree,masgiida Alamayow,7.747730053,36.82239916,2115,,2014-8,On spot,,,1,,Hand dug well,Yes,,Hand pump,Afridev,Man Power,Functional,,,,,Other,2014-8,,,,,,,,,,,,,
Mana,Buxure,Buxuree,Masgiida shemamadnur,7.738495648,36.82308079,2123,,2014-8,On spot, ,,1,,Hand dug well,Yes,,Hand pump,Afridev,Man Power,Functional,,,,,Other,2014-8,,,,,,,,,,,,,
Mana,Dowaa,Codo,Hadha Kabbee,7.803103253,36.7379628,1801,https://akvoflow-23.s3.amazonaws.com/images/31536dfd-537b-44ff-8af8-ebcd878f8bf2.jpg,2006-10-15,On Spot,,,49,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2015-11-15,No,2019-08-08,No,,3,No,,2019-10-10,No,,No,,
Mana,Dowaa,Codoo,Garo,7.808203888,36.7377529,1757,https://akvoflow-23.s3.amazonaws.com/images/d32b7f8d-abac-4656-86d5-8acd9d9a0d17.jpg,2004-11-18,On Spot,,,70,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2016-10-06,No,2016-09-10,No,,3,No,,,No,,No,,
Mana,Dowaa,Codoo,She Yunus,7.813984214,36.72973707,1760,https://akvoflow-23.s3.amazonaws.com/images/11f65031-595e-407f-8b21-14b07a0eae27.jpg,2008-09-10,On Spot,,,81,,Spring,No,No,Gravity,,,Functional,No,No,Yes,Less water,WASHCO,2010-06-16,No,2010-11-05,No,,3,No,,2011-10-06,No,,No,,
Mana,Dowaa,Codoo,Aba Godu,7.807458038,36.72979804,1776,https://akvoflow-23.s3.amazonaws.com/images/8d885754-80d5-41a0-a803-eab279be76a8.jpg,2009-03-18,On Spot,,,61,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2022-05-13,No,2022-05-13,No,,3,No,,,No,,No,,
Mana,Dowaa,codoo,Aba Macha,7.816734582,36.73305886,1780,https://akvoflow-23.s3.amazonaws.com/images/3304b1ff-5847-465e-bb6e-8daef930c064.jpg,2012-05-27,On Spot,,,56,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2014-04-09,No,2015-09-10,Yes,2016-01-15,3,No,,2016-09-14,No,,No,,
